@relation active_action_1
@attribute a1 numeric
@attribute c_a1 numeric
@attribute a2 numeric
@attribute c_a2 numeric
@attribute a3 numeric
@attribute c_a3 numeric
@attribute a4 numeric
@attribute c_a4 numeric
@attribute a5 numeric
@attribute c_a5 numeric
@attribute a6 numeric
@attribute c_a6 numeric
@attribute t4_a {0,1}
@data

1,0,5,8,4,2,8,16,2,8,2,9,0
1,0,5,7,3,1,8,12,1,10,1,2,1
1,0,4,8,1,4,8,13,1,10,0,0,0
0,0,1,13,1,3,12,12,2,5,0,3,0
0,1,2,12,1,3,14,12,1,4,1,4,1
0,1,3,14,1,1,11,16,1,2,1,7,0
0,2,3,12,1,2,11,15,2,4,1,4,0
0,1,2,16,1,2,10,13,3,6,0,4,1
1,1,2,14,2,2,11,10,4,6,1,2,0
1,0,2,12,2,3,8,7,2,4,1,2,0
2,0,4,13,2,3,7,9,3,5,2,2,0
2,0,4,15,0,2,7,9,3,8,2,2,0
2,1,5,14,0,0,9,9,3,9,3,3,0
1,1,3,9,0,1,9,11,1,6,2,3,0
1,2,1,10,0,1,9,10,1,4,1,4,0
1,1,2,11,0,1,5,9,1,3,0,5,0
2,3,4,17,0,0,7,6,1,2,1,5,0
2,4,4,14,0,0,10,4,0,1,1,3,0
4,4,3,15,0,0,15,5,2,0,1,3,1
3,2,3,13,1,1,15,10,2,0,0,3,0
2,0,3,13,1,3,11,11,2,5,0,6,0
0,0,2,9,1,6,6,9,0,5,1,4,0
0,1,0,4,0,6,6,5,1,5,1,4,0
0,1,0,6,0,4,4,5,1,0,2,3,0
0,1,2,8,0,1,5,5,1,0,1,3,0
0,0,2,8,0,0,3,3,0,1,2,2,0
0,0,2,6,0,0,5,3,0,2,2,0,0
0,0,1,5,0,0,4,4,0,4,3,0,0
0,0,1,5,0,0,4,5,0,3,2,1,0
0,0,1,3,0,1,6,4,0,3,1,3,0
0,0,3,8,0,1,8,7,0,3,0,3,0
0,1,3,9,0,1,9,6,1,3,0,2,0
0,1,3,10,0,0,6,6,1,4,0,0,0
0,1,1,12,1,5,4,20,3,7,2,9,0
0,1,1,11,1,3,2,18,3,8,1,2,0
0,1,2,10,1,4,3,18,3,8,0,0,0
0,0,3,11,0,4,2,22,0,7,1,2,0
0,1,2,12,0,4,4,22,0,5,2,3,1
0,1,5,12,1,1,6,21,0,3,2,6,1
0,2,4,11,2,1,7,19,1,5,1,4,0
0,1,5,13,2,1,5,18,4,5,0,4,0
0,2,2,14,1,3,3,18,4,6,0,3,1
0,1,3,11,1,4,1,14,3,3,0,3,0
0,2,5,12,1,4,2,14,1,7,0,4,0
0,2,5,14,1,1,2,14,1,10,0,4,0
1,2,5,14,0,0,4,14,3,9,1,5,0
1,1,3,9,0,1,5,15,2,5,2,3,0
1,2,3,8,0,1,5,14,2,3,3,2,0
0,2,3,10,0,1,4,10,1,3,2,3,0
0,5,2,19,0,0,2,11,1,2,1,5,0
0,6,1,17,0,0,1,13,1,0,0,4,0
0,8,3,15,0,0,2,18,0,2,0,4,1
0,5,4,12,1,1,5,20,0,2,0,3,1
0,2,5,11,2,2,6,16,2,5,1,5,1
0,0,2,9,4,3,4,11,2,3,1,4,1
0,1,1,3,4,2,3,8,2,4,1,4,0
0,1,3,3,3,1,2,7,0,1,0,5,0
0,1,4,6,1,0,2,8,0,1,0,4,0
0,0,5,5,0,0,1,5,0,1,0,4,0
0,0,3,5,0,0,1,7,1,1,0,2,0
0,0,3,3,0,0,2,6,2,2,0,3,0
0,0,3,3,0,0,3,6,2,1,0,3,1
0,0,3,1,1,0,4,6,2,1,2,2,0
0,0,3,8,1,0,4,11,2,1,2,1,0
1,0,4,8,1,0,2,13,2,2,2,0,0
1,0,3,10,0,0,2,10,3,2,0,0,0
0,1,3,10,0,6,6,18,1,9,4,7,0
0,1,4,8,0,4,4,16,3,8,0,3,1
0,1,5,7,1,4,4,17,3,8,0,0,0
0,0,5,9,1,3,2,22,2,5,0,3,0
1,0,4,10,1,3,2,24,0,5,0,5,0
1,0,2,15,0,2,2,25,0,3,2,6,0
2,0,2,13,0,3,1,25,0,6,2,3,0
1,0,5,13,0,3,1,22,0,9,3,1,0
1,1,6,10,0,4,2,19,0,10,2,1,1
0,1,5,9,1,4,3,12,0,6,2,1,0
0,2,3,14,1,4,3,13,3,5,2,2,0
0,2,3,16,1,1,3,13,4,7,2,2,0
0,3,2,17,0,0,2,16,4,8,2,4,1
0,2,1,11,1,0,3,17,2,5,1,4,0
0,3,4,7,1,0,2,17,1,4,0,5,0
0,2,5,8,1,0,2,12,1,3,1,4,0
2,3,8,13,0,0,2,11,0,3,1,5,0
2,4,5,13,0,0,2,12,0,1,1,3,0
2,6,5,13,0,0,2,18,0,2,2,2,0
0,5,3,13,0,2,1,24,0,2,3,0,1
0,2,2,14,1,3,0,22,0,7,5,1,0
0,0,1,10,1,6,0,15,0,5,3,2,0
0,1,0,4,1,5,0,11,0,6,3,2,0
0,1,1,5,0,4,2,7,0,1,2,3,0
0,1,1,9,0,1,2,8,0,1,2,2,0
0,0,1,9,0,0,2,4,0,1,1,3,0
0,0,0,8,0,0,1,7,0,2,0,2,0
0,0,0,6,0,0,1,7,0,4,0,3,0
0,0,0,6,0,0,1,8,0,3,1,2,0
0,0,0,4,0,1,0,10,0,3,1,3,0
0,0,1,10,0,1,0,15,0,3,1,2,0
0,1,1,11,0,1,1,14,0,4,0,2,0
0,1,3,10,0,0,1,11,0,5,0,0,0
0,1,2,11,0,6,0,24,1,9,0,11,0
0,1,2,10,0,4,1,19,1,10,0,3,0
0,1,1,11,0,5,1,20,0,11,0,0,0
0,0,3,11,0,4,2,22,0,7,1,2,0
0,1,2,12,0,4,1,25,0,5,1,4,0
0,1,2,15,0,2,1,26,0,3,2,6,0
0,2,1,14,0,3,0,26,0,6,1,4,0
0,1,2,16,0,3,0,23,0,9,1,3,1
0,2,3,13,1,3,1,20,0,10,0,3,0
0,1,2,12,1,4,1,14,0,6,0,3,0
0,2,2,15,1,4,2,14,0,8,0,4,0
0,2,3,16,0,2,1,15,1,10,0,4,0
0,3,4,15,0,0,1,17,1,11,0,6,0
0,2,4,8,0,1,2,18,1,6,0,5,0
1,2,2,9,0,1,2,17,0,5,0,5,0
1,1,1,12,0,1,2,12,0,4,0,5,0
1,4,2,19,0,0,0,13,0,3,0,6,0
1,5,3,15,0,0,0,14,0,1,0,4,0
1,7,3,15,0,0,0,20,0,2,0,4,0
1,4,3,13,0,2,3,22,0,2,0,3,0
0,2,2,14,0,4,3,19,0,7,0,6,1
0,0,2,9,1,6,3,12,0,5,0,5,0
0,1,0,4,1,5,0,11,0,6,0,5,0
0,1,0,6,1,3,0,9,0,1,0,5,0
0,1,1,9,0,1,0,10,0,1,0,4,0
0,0,1,9,0,0,0,6,0,1,0,4,0
0,0,2,6,0,0,0,8,0,2,0,2,0
0,0,1,5,0,0,0,8,0,4,0,3,0
0,0,1,5,0,0,0,9,0,3,0,3,0
0,0,0,4,0,1,0,10,0,3,0,4,0
0,0,1,10,0,1,1,14,0,3,0,3,0
0,1,1,11,0,1,1,14,0,4,0,2,0
