@relation active_action_1
@attribute c_a1 numeric
@attribute c_a2 numeric
@attribute c_a3 numeric
@attribute c_a4 numeric
@attribute c_a5 numeric
@attribute c_a6 numeric
@attribute t4_a {0,1}
@data

0,8,2,16,8,9,0
0,7,1,12,10,2,0
0,8,4,13,10,0,0
0,13,3,12,5,3,1
1,12,3,12,4,4,0
1,14,1,16,2,7,0
2,12,2,15,4,4,0
1,16,2,13,6,4,1
1,14,2,10,6,2,0
0,12,3,7,4,2,1
0,13,3,9,5,2,1
0,15,2,9,8,2,1
1,14,0,9,9,3,0
1,9,1,11,6,3,0
2,10,1,10,4,4,0
1,11,1,9,3,5,1
3,17,0,6,2,5,0
4,14,0,4,1,3,0
4,15,0,5,0,3,0
2,13,1,10,0,3,0
0,13,3,11,5,6,1
0,9,6,9,5,4,0
1,4,6,5,5,4,1
1,6,4,5,0,3,0
1,8,1,5,0,3,1
0,8,0,3,1,2,1
0,6,0,3,2,0,1
0,5,0,4,4,0,0
0,5,0,5,3,1,0
0,3,1,4,3,3,0
0,8,1,7,3,3,0
1,9,1,6,3,2,0
1,10,0,6,4,0,0
1,12,5,20,7,9,0
1,11,3,18,8,2,0
1,10,4,18,8,0,1
0,11,4,22,7,2,1
1,12,4,22,5,3,0
1,12,1,21,3,6,0
2,11,1,19,5,4,0
1,13,1,18,5,4,0
2,14,3,18,6,3,0
1,11,4,14,3,3,0
2,12,4,14,7,4,0
2,14,1,14,10,4,1
2,14,0,14,9,5,1
1,9,1,15,5,3,1
2,8,1,14,3,2,0
2,10,1,10,3,3,0
5,19,0,11,2,5,0
6,17,0,13,0,4,0
8,15,0,18,2,4,0
5,12,1,20,2,3,1
2,11,2,16,5,5,0
0,9,3,11,3,4,0
1,3,2,8,4,4,0
1,3,1,7,1,5,0
1,6,0,8,1,4,0
0,5,0,5,1,4,0
0,5,0,7,1,2,0
0,3,0,6,2,3,0
0,3,0,6,1,3,1
0,1,0,6,1,2,0
0,8,0,11,1,1,0
0,8,0,13,2,0,0
0,10,0,10,2,0,0
1,10,6,18,9,7,0
1,8,4,16,8,3,0
1,7,4,17,8,0,0
0,9,3,22,5,3,0
0,10,3,24,5,5,1
0,15,2,25,3,6,0
0,13,3,25,6,3,1
0,13,3,22,9,1,1
1,10,4,19,10,1,0
1,9,4,12,6,1,1
2,14,4,13,5,2,1
2,16,1,13,7,2,0
3,17,0,16,8,4,0
2,11,0,17,5,4,0
3,7,0,17,4,5,1
2,8,0,12,3,4,0
3,13,0,11,3,5,0
4,13,0,12,1,3,1
6,13,0,18,2,2,1
5,13,2,24,2,0,1
2,14,3,22,7,1,0
0,10,6,15,5,2,1
1,4,5,11,6,2,1
1,5,4,7,1,3,0
1,9,1,8,1,2,0
0,9,0,4,1,3,0
0,8,0,7,2,2,0
0,6,0,7,4,3,1
0,6,0,8,3,2,0
0,4,1,10,3,3,0
0,10,1,15,3,2,0
1,11,1,14,4,2,0
1,10,0,11,5,0,1
1,11,6,24,9,11,0
1,10,4,19,10,3,0
1,11,5,20,11,0,1
0,11,4,22,7,2,0
1,12,4,25,5,4,1
1,15,2,26,3,6,0
2,14,3,26,6,4,0
1,16,3,23,9,3,0
2,13,3,20,10,3,0
1,12,4,14,6,3,0
2,15,4,14,8,4,0
2,16,2,15,10,4,0
3,15,0,17,11,6,0
2,8,1,18,6,5,0
2,9,1,17,5,5,0
1,12,1,12,4,5,0
4,19,0,13,3,6,0
5,15,0,14,1,4,0
7,15,0,20,2,4,0
4,13,2,22,2,3,0
2,14,4,19,7,6,0
0,9,6,12,5,5,0
1,4,5,11,6,5,0
1,6,3,9,1,5,0
1,9,1,10,1,4,0
0,9,0,6,1,4,0
0,6,0,8,2,2,0
0,5,0,8,4,3,0
0,5,0,9,3,3,0
0,4,1,10,3,4,0
0,10,1,14,3,3,0
1,11,1,14,4,2,0
1,12,0,11,5,0,0
1,12,5,18,8,9,0
1,12,4,16,9,3,0
1,12,4,18,10,0,1
0,13,3,22,7,2,0
1,11,3,25,5,4,0
1,14,2,24,3,7,0
2,11,3,21,5,5,0
1,15,3,17,8,4,0
2,13,4,17,9,3,0
1,12,5,13,6,3,0
2,16,5,14,8,4,0
2,18,2,13,11,4,0
3,19,0,16,12,6,0
2,12,1,19,7,5,1
3,10,1,19,5,4,0
2,12,1,14,4,4,1
5,17,0,12,3,4,0
5,14,0,13,1,3,0
7,14,0,19,2,3,0
4,13,2,24,2,3,0
2,12,4,21,5,6,0
0,7,7,14,3,5,0
0,2,6,10,4,5,1
0,6,4,8,1,4,0
0,10,1,9,1,3,0
0,10,0,6,1,3,0
0,8,0,7,2,2,0
0,6,0,7,3,3,0
0,6,0,8,2,3,0
0,4,1,10,2,4,0
0,9,1,13,2,3,0
1,10,1,13,3,2,0
1,11,0,10,4,0,0
